label,pixel_acc,iou,dice,precision,recall
ILSVRC2012_val_00013716,0.820332407951355,0.4231876730918884,0.5947039723396301,0.5382925271987915,0.6643230319023132
ILSVRC2012_val_00002138,0.857999861240387,0.6363497376441956,0.7777673602104187,0.8709136843681335,0.7026204466819763
ILSVRC2012_val_00026064,0.9138033986091614,0.5763956904411316,0.7312830090522766,0.7492997050285339,0.7141123414039612
ILSVRC2012_val_00011233,0.9219945669174194,0.7267904281616211,0.8417818546295166,0.8874115943908691,0.800615131855011
ILSVRC2012_val_00039905,0.5154256820678711,0.3121923506259918,0.4758332371711731,0.3322695195674896,0.837837815284729
ILSVRC2012_val_00026397,0.7765067219734192,0.42456895112991333,0.5960665941238403,1.0,0.42456895112991333
ILSVRC2012_val_00037383,0.9429209232330322,0.5760805010795593,0.7310292720794678,0.99387127161026,0.578134298324585
ILSVRC2012_val_00017995,0.9509127736091614,0.5493138432502747,0.7091059684753418,0.8082929253578186,0.631601095199585
ILSVRC2012_val_00009191,0.9705835580825806,0.7146171927452087,0.8335588574409485,0.8301886916160583,0.8369565010070801
ILSVRC2012_val_00048204,0.8216278553009033,0.32888421416282654,0.4949779808521271,0.36666110157966614,0.7614583373069763
ILSVRC2012_val_00031333,0.9463289380073547,0.7947095632553101,0.8856135606765747,0.8585193157196045,0.9144737124443054
ILSVRC2012_val_00003014,0.7859334945678711,0.11355946213006973,0.20395760238170624,0.11386016011238098,0.9772727489471436
ILSVRC2012_val_00046499,0.8216478228569031,0.5504822134971619,0.7100787162780762,0.6694154143333435,0.7560016512870789
ILSVRC2012_val_00037861,0.9381377696990967,0.5230485796928406,0.6868442296981812,0.6198106408119202,0.770135760307312
ILSVRC2012_val_00017699,0.8093112111091614,0.6753969192504883,0.8062530159950256,0.9620179533958435,0.6939002871513367
ILSVRC2012_val_00048969,0.8814572691917419,0.5899062156677246,0.7420641779899597,0.8148571252822876,0.6812102198600769
ILSVRC2012_val_00034654,0.3864397406578064,0.10927870869636536,0.19702661037445068,0.7784419059753418,0.1127866730093956
ILSVRC2012_val_00012503,0.7962173223495483,0.6007574796676636,0.750591516494751,0.7519304156303406,0.7492573857307434
ILSVRC2012_val_00009346,0.5836455821990967,0.4449492394924164,0.615868330001831,0.5899947285652161,0.6441153883934021
ILSVRC2012_val_00037375,0.903898298740387,0.5366134643554688,0.6984364986419678,0.6277683973312378,0.7870331406593323
ILSVRC2012_val_00045866,0.8070192933082581,0.5889195203781128,0.7412830591201782,0.8175870776176453,0.6780058741569519
ILSVRC2012_val_00023559,0.858976423740387,0.6496335864067078,0.7876095771789551,0.9106684327125549,0.693849503993988
ILSVRC2012_val_00016018,0.9197026491165161,0.8024709224700928,0.8904120922088623,0.902066707611084,0.8790547847747803
ILSVRC2012_val_00046252,0.8781489133834839,0.7415673136711121,0.8516091704368591,0.9794551134109497,0.7532846927642822
ILSVRC2012_val_00000293,0.7799944281578064,0.45448705554008484,0.624944806098938,0.7823904752731323,0.5202511548995972
ILSVRC2012_val_00024235,0.7910754084587097,0.6001144647598267,0.7500894069671631,0.6174496412277222,0.9553072452545166
ILSVRC2012_val_00017700,0.868183970451355,0.6073379516601562,0.7557066082954407,0.9242027401924133,0.6391752362251282
ILSVRC2012_val_00024327,0.7874880433082581,0.6191105842590332,0.7647538781166077,0.7442778944969177,0.7863883972167969
ILSVRC2012_val_00018317,0.783203125,0.21752266585826874,0.357320100069046,0.22291021049022675,0.8999999761581421
ILSVRC2012_val_00040358,0.9451530575752258,0.4776006042957306,0.6464542746543884,0.5512708425521851,0.7813664674758911
ILSVRC2012_val_00028158,0.7938456535339355,0.4321475625038147,0.6034958362579346,0.9757065176963806,0.4368479549884796
ILSVRC2012_val_00041939,0.9240672588348389,0.379680871963501,0.5503894090652466,0.8799999952316284,0.40041208267211914
ILSVRC2012_val_00025129,0.921476423740387,0.5900530815124512,0.742180347442627,0.7248210906982422,0.7603915333747864
ILSVRC2012_val_00037596,0.7136678695678711,0.5076590776443481,0.673440158367157,0.885475218296051,0.5433339476585388
ILSVRC2012_val_00011993,0.8359375,0.6574566960334778,0.7933319807052612,0.8003647327423096,0.7864217758178711
ILSVRC2012_val_00017472,0.9306640625,0.8223912715911865,0.9025408029556274,0.9593258500099182,0.8521026372909546
ILSVRC2012_val_00021740,0.6901506781578064,0.49712124466896057,0.6641028523445129,0.9280797243118286,0.5170395374298096
ILSVRC2012_val_00009379,0.8663902878761292,0.5252124667167664,0.6887072920799255,0.7463768124580383,0.639310359954834
ILSVRC2012_val_00030740,0.9293885231018066,0.47588756680488586,0.6448832154273987,0.7956962585449219,0.5421301126480103
ILSVRC2012_val_00029930,0.7679966688156128,0.6107600331306458,0.758350133895874,0.7458859086036682,0.7712379693984985
ILSVRC2012_val_00009111,0.8184191584587097,0.6111893653869629,0.7586809396743774,0.8985507488250732,0.6564906239509583
ILSVRC2012_val_00007197,0.9080635905265808,0.6845596432685852,0.8127461075782776,0.9929577708244324,0.6878994107246399
ILSVRC2012_val_00040833,0.9418845772743225,0.6351351141929626,0.7768595218658447,1.0,0.6351351141929626
ILSVRC2012_val_00025527,0.7838807106018066,0.6039010882377625,0.7530403137207031,0.9894075393676758,0.6078308820724487
ILSVRC2012_val_00031094,0.9761439561843872,0.41237112879753113,0.5839415788650513,0.4802744388580322,0.7446808218955994
ILSVRC2012_val_00045880,0.9615951776504517,0.6047179698944092,0.7536750435829163,0.8903654217720032,0.6533687710762024
ILSVRC2012_val_00009396,0.6399872303009033,0.4383433759212494,0.6095114350318909,0.5509183406829834,0.6820513010025024
ILSVRC2012_val_00037834,0.9223732352256775,0.7866805195808411,0.8806056976318359,0.9545454382896423,0.8172972798347473
ILSVRC2012_val_00006697,0.9370615482330322,0.4021204113960266,0.5735889673233032,0.7860843539237976,0.4515306055545807
ILSVRC2012_val_00049712,0.8345423936843872,0.2881762981414795,0.4474174678325653,0.8209574818611145,0.30750229954719543
ILSVRC2012_val_00031138,0.5062380433082581,0.4391370415687561,0.6102782487869263,0.9889370203018188,0.4413049519062042
ILSVRC2012_val_00004655,0.880839467048645,0.46052512526512146,0.6306295394897461,0.866995096206665,0.4955339729785919
ILSVRC2012_val_00000307,0.49872449040412903,0.4224967360496521,0.5940213799476624,0.9806022047996521,0.4260575473308563
ILSVRC2012_val_00003150,0.5158442258834839,0.441154807806015,0.6122240424156189,1.0,0.441154807806015
ILSVRC2012_val_00013623,0.7920918464660645,0.045999083667993546,0.08795244246721268,0.1153140738606453,0.0710853561758995
ILSVRC2012_val_00044095,0.8561862111091614,0.17266681790351868,0.2944857180118561,0.8122977614402771,0.17984236776828766
ILSVRC2012_val_00020785,0.888093888759613,0.32762542366981506,0.49355101585388184,0.7077082395553589,0.3788948953151703
ILSVRC2012_val_00046915,0.9141023755073547,0.5192415118217468,0.6835535764694214,0.8420767188072205,0.5752595067024231
ILSVRC2012_val_00030217,0.6778739094734192,0.4457703232765198,0.6166543960571289,0.9681984186172485,0.4523942172527313
ILSVRC2012_val_00032675,0.8170838356018066,0.4884628355503082,0.6563318967819214,1.0,0.4884628355503082
ILSVRC2012_val_00000994,0.5758131146430969,0.5391876697540283,0.700613260269165,0.9966383576393127,0.5401700735092163
ILSVRC2012_val_00010509,0.7729392647743225,0.47793611884117126,0.6467615365982056,0.9740381240844727,0.4841030538082123
ILSVRC2012_val_00003735,0.6630859375,0.39100831747055054,0.5621941089630127,0.9819958209991455,0.39383164048194885
ILSVRC2012_val_00019459,0.8541932106018066,0.1751042902469635,0.29802340269088745,0.7863290905952454,0.18385225534439087
ILSVRC2012_val_00000262,0.9154775142669678,0.25004419684410095,0.4000565707683563,0.7141414284706116,0.27785420417785645
ILSVRC2012_val_00012880,0.9210977554321289,0.42195940017700195,0.5934900641441345,0.44386422634124756,0.8952912092208862
ILSVRC2012_val_00028713,0.5380859375,0.36800915002822876,0.5380215048789978,0.955469012260437,0.3744312524795532
ILSVRC2012_val_00020436,0.9362643361091614,0.6490727663040161,0.7871972322463989,0.9680851101875305,0.6632652878761292
ILSVRC2012_val_00018075,0.4096580147743225,0.22918184101581573,0.37290143966674805,0.8095413446426392,0.24224336445331573
ILSVRC2012_val_00038057,0.8125398755073547,0.38514837622642517,0.5561113953590393,0.7541277408599854,0.4404574930667877
ILSVRC2012_val_00032235,0.6862045526504517,0.48149245977401733,0.6500099897384644,0.9483686685562134,0.4944538474082947
ILSVRC2012_val_00034386,0.9326968789100647,0.7323452234268188,0.8454957008361816,0.9847596883773804,0.7407407164573669
ILSVRC2012_val_00006007,0.7741749286651611,0.599738597869873,0.7497957348823547,0.677088737487793,0.8399960398674011
